Column1,Column2,Column3,Column4,Column5,Column6,Column7
1회로(TEL/LAN),메탈,클래식브래스,기타류,ME2969-1UAC,커버 1P TEL/LAN,32940
2회로(TEL/LAN),메탈,클래식브래스,기타류,UAE8-8UPOK6,인서트 2P TEL/LAN,50700
2회로(TEL/LAN),메탈,클래식브래스,기타류,ME2969-2UAC,커버 2P TEL/LAN,36240
1구,메탈,앤틱브래스,,ME2981AT,프레임 1구,48280
2구,메탈,앤틱브래스,,ME2982AT,프레임 2구,75140
3구,메탈,앤틱브래스,,ME2983AT,프레임 3구,125230
4구,메탈,앤틱브래스,,ME2984AT,프레임 4구,217220
5구,메탈,앤틱브래스,,ME2985AT,프레임 5구,357490
1회로(3로겸용),메탈,앤틱브래스,스위치류,506U,인서트 1회로 (단로/3로),12300
1회로(3로겸용),메탈,앤틱브래스,스위치류,ME2990AT,커버 1회로 스위치,32640
1회로(일괄소등),메탈,앤틱브래스,스위치류,506-20U,인서트 일괄소등 1회로 (단로/3로),27320
1회로(일괄소등),메탈,앤틱브래스,스위치류,ME2990AT,커버 1회로 스위치,32640
2회로(단로전용),메탈,앤틱브래스,스위치류,505U,인서트 2회로 (단로전용),19280
2회로(단로전용),메탈,앤틱브래스,스위치류,ME2995AT,커버 2회로 스위치,36890
2회로(3로겸용),메탈,앤틱브래스,스위치류,509U,인서트 2회로 (단로/3로),34310
2회로(3로겸용),메탈,앤틱브래스,스위치류,ME2995AT,커버 2회로 스위치,36890
3회로(3로겸용),메탈,앤틱브래스,스위치류,5306EU,인서트 단로 3회로 (3로겸용),44330
3회로(3로겸용),메탈,앤틱브래스,스위치류,ME993AT,커버 3회로 스위치,49790
로터리디밍,메탈,앤틱브래스,스위치류,1731DD,인서트 로터리디밍 (LED100W),201900
로터리디밍,메탈,앤틱브래스,스위치류,ME1740AT,커버 로터리디밍,71940
콘센트,메탈,앤틱브래스,콘센트류,ME1520KIAT,콘센트220V (인서트+커버),48280
방우콘센트,메탈,앤틱브래스,콘센트류,ME1520KIKLAT,콘센트220V 방우형 (인서트+커버),59810
콘센트(USB-A),메탈,앤틱브래스,콘센트류,ME1520-18AAT,콘센트220V USB-A (인서트+커버),229040
콘센트(USB-C),메탈,앤틱브래스,콘센트류,ME1520-18CAT,콘센트220V USB-C (인서트+커버),229040
콘센트(USB-C/A),메탈,앤틱브래스,콘센트류,ME1520-15CAAT,콘센트220V USB-C/A (인서트+커버),229040
1회로(TEL/LAN),메탈,앤틱브래스,기타류,UAE8UPOK6,인서트 1P TEL/LAN,37960
1회로(TEL/LAN),메탈,앤틱브래스,기타류,ME2969-1UAAT,커버 1P TEL/LAN,32940
2회로(TEL/LAN),메탈,앤틱브래스,기타류,UAE8-8UPOK6,인서트 2P TEL/LAN,50700
2회로(TEL/LAN),메탈,앤틱브래스,기타류,ME2969-2UAAT,커버 2P TEL/LAN,36240
메탈사각박스,,,매립박스,BS6042M-50,메탈사각박스,3650
원형박스(H47),,,매립박스,9063-02,원형박스(H47) 플라스틱,3650
원형박스(H61),,,매립박스,9064-02,원형박스(H61) 플라스틱,7600
2구원형박스(H48),,,매립박스,9252-22,2구원형박스(H48) 플라스틱,11030
3구원형박스(H48),,,매립박스,9253-22,3구원형박스(H48) 플라스틱,13030
4구원형박스(H48),,,매립박스,9254-22,4구원형박스(H48) 플라스틱,3040
